id,title,company,location,created,description,redirect_url,salary_min,salary_max
5210740351,Primary KS2 Teacher,Protocol Education,"Sheffield, South Yorkshire",2025-05-22T12:50:04Z,"KS2 Supply Teachers – Sheffield Calling Confident in the classroom? Let’s put that to work. We’re on the lookout for brilliant KS2 teachers who bring energy, clarity, and know-how to every lesson—especially when it counts. Sheffield schools need flexible teachers who can step into Years 3–6, including supporting Year 6 pupils through SATs. Whether you’re looking for daily supply or something more long-term, we’ll find the right fit for your style and schedule. What you’ll bring: • QTS and solid…",https://www.adzuna.co.uk/jobs/details/5210740351?utm_medium=api&utm_source=3aea9429,33800,52000
5209045994,Senior Credit Risk Analyst - UK,YouLend,"London, UK",2025-05-21T15:17:37Z,"About Us YouLend is the preferred global embedded financing platform for many of the world’s leading e-commerce sites, tech companies and payment services providers such as Amazon, eBay, Shopify, Mollie, Dojo, Paysafe, Just Eat Takeaway and Takepayments. Our software platform and APIs enable our partners to offer flexible financing products, in their desired branding, to their merchant base. With YouLend's AI-driven credit risk assessment solutions, more merchants and SMEs than ever can receive…",https://www.adzuna.co.uk/jobs/details/5209045994?utm_medium=api&utm_source=3aea9429,60000,80000
5213437870,Dual Fuel Smart Meter Installer,Recenergy,"Darlington, County Durham",2025-05-24T02:04:09Z,"Dual Fuel Smart Meter Installer £39,000 basic salary £41,000 basic if you hold 3-Phase & EV qualifications OTE: £60,000 with meter bonus scheme £10,000 Sign-On Bonus (Paid in 4 Instalments in Year 1) Monday to Friday | 40-Hour Week Dual Fuel Smart Meter Installer Benefits: Lucrative performance bonus Extra pay for 3-Phase and REGT1 Daily meter fit bonus £60 monthly lunch allowance 29 days holiday (incl. bank holidays) £10,000 Life Assurance Company pension Recommend a friend incentive We're Hir…",https://www.adzuna.co.uk/jobs/details/5213437870?utm_medium=api&utm_source=3aea9429,39000,60000
5221621474,Mechanical Assembly Operative,Workforce Staffing,"Droitwich, Worcestershire",2025-05-29T12:54:12Z,"Job Title: Mechanical Assembly Operative - Copper Sub-Assemblies Shift Pattern: Monday to Thursday - 07:30 to 16:30 Friday - 08:00 to 13:00 (39 hours per week) Location: Droitwich Salary: ?14.94 to ?16.15 per hour (Equivalent to ?30,307.45 - ?32,762.16 annually) Overtime: Monday-Saturday at 1.5x hourly rate, Sunday at 2x hourly rate Join our dedicated team in Droitwich as a Mechanical Assembly Operative supporting the VIP section with high-quality sub-assembly manufacturing. We're looking for a…",https://www.adzuna.co.uk/jobs/details/5221621474?utm_medium=api&utm_source=3aea9429,30000,33000
5213592080,Service Delivery Lead,LGC Group,"Guildford, Surrey",2025-05-24T03:45:22Z,"Job Description We are seeking a highly skilled and experienced Service Delivery Lead to join our dynamic team in Guildford, United Kingdom. As the Service Delivery Lead, you will be responsible for optimising our service delivery processes by acting as a point of reference for technical advice and guidance to Analytical Chemists and the customer, ensuring customer satisfaction, and driving continuous improvement initiatives. Lead the service delivery aspect of the team, providing guidance, men…",https://www.adzuna.co.uk/jobs/details/5213592080?utm_medium=api&utm_source=3aea9429,48249.95,48249.95
5093860092,Graduate Data Analyst - Manchester,Grayce,"Macclesfield, Cheshire",2025-03-14T18:35:18Z,"Job Position: Graduate Data Analyst (Engineer/Scientist) – via the Graduate Development Programme Locations: We are able to consider candidates in Manchester, Macclesfield and Warrington Starting Salary: £25,000 Application Requirements: Minimum 2:1 or above in a STEM (Science, Technology, Engineering, and Math) subject. Experience in analysing data. Right to work in the UK unsponsored for the duration of the programme. Ability to work on site up to 5 days a week. Grayce is not on the UK Border…",https://www.adzuna.co.uk/jobs/details/5093860092?utm_medium=api&utm_source=3aea9429,25000,25000
5188425341,1:1 Teaching Assistant,GSL Education,"Blandford Camp, Blandford Forum",2025-05-08T12:46:11Z,"A Teaching Assistant is required to help students in one-to-one basis in Blandford! Job Title: 1:1 Teaching Assistant Location: Blandford Salary: £13.68 - £16.12 per hour (Depending on Experience) Start Date: Immediate Contract Type: Full-time/Part-time Do you enjoy supporting students on a one-to-one basis and helping them thrive in a classroom setting? GSL Education are looking for a dedicated and enthusiastic 1:1 Teaching Assistant (TA) to join schools in Blandford . In this role, you will p…",https://www.adzuna.co.uk/jobs/details/5188425341?utm_medium=api&utm_source=3aea9429,28454,33529
5219923822,RTA Litigation Executive,G2 Legal Limited,"Holbeck, Leeds",2025-05-28T12:52:26Z,"RTA Litigation Executive/Paralegal – Leading National Firm – Leeds – Hybrid Working An award-winning national law firm, renowned for its exceptional personal injury and insurance services, is currently seeking a confident and skilled RTA Litigation Executive or Paralegal to join its Claimant Fast Track RTA Litigation team based in Central Leeds . This is an outstanding opportunity to join a top-tier legal practice with a stellar reputation for delivering high-quality legal services in a support…",https://www.adzuna.co.uk/jobs/details/5219923822?utm_medium=api&utm_source=3aea9429,30000,38000
5170743224,Senior Sales and Events Manager,Broadwick,"London, UK",2025-04-30T16:27:27Z,"Role: Senior Sales & Events Manager Reports into: Head of Sales & Events Location: Waterloo, London Contract Type: Full Time, Permanent (42.5 hours per week) Who we are: Broadwick is a multifaceted international company with headquarters in London who create, develop, own and operate a diverse portfolio of spaces, events and experiences. We believe in redefining spaces and how people experience music, art, culture and recreation by breaking down the traditional barriers. Our history and heritag…",https://www.adzuna.co.uk/jobs/details/5170743224?utm_medium=api&utm_source=3aea9429,46845.94,46845.94
5210781888,Court of Protection Solicitor,Realm Recruit,"Leeds, West Yorkshire",2025-05-22T13:34:38Z,"Join one of the UK’s leading Court of Protection teams with a national footprint and over 200 specialists Work on high-value, complex deputyship matters alongside a respected senior team Benefit from clear promotion pathways, flexible working, and a top-tier salary package An award-winning national law firm is looking to grow its Yorkshire Court of Protection offering and is seeking experienced solicitors to join the team in Leeds. Whether you’re looking to step into a more senior role or want …",https://www.adzuna.co.uk/jobs/details/5210781888?utm_medium=api&utm_source=3aea9429,50000,70000
